,equity
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406786,-0.0038328494804423558
1773291406791,-0.0038328494804423558
1773291406945,-0.0038328494804423558
1773291406966,-0.0038328494804423558
1773291407091,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407133,-0.0038328494804423558
1773291407698,-0.0038328494804423558
1773291407897,-0.0038328494804423558
1773291408198,-0.0038328494804423558
1773291409359,-0.0038328494804423558
1773291409532,-0.0038328494804423558
1773291410542,-0.0038328494804423558
1773291410705,-0.0038328494804423558
1773291410824,-0.0038328494804423558
1773291410964,-0.0038328494804423558
1773291411033,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411646,-0.0038328494804423558
1773291411654,-0.0038328494804423558
1773291411825,-0.0038328494804423558
1773291411825,-0.0038328494804423558
1773291412131,-0.0038328494804423558
1773291412308,-0.0038328494804423558
1773291412639,-0.0038328494804423558
1773291412725,-0.0038328494804423558
1773291412795,-0.0038328494804423558
1773291412848,-0.0038328494804423558
1773291413250,-0.0038328494804423558
1773291413374,-0.0038328494804423558
1773291413553,-0.0038328494804423558
1773291414188,-0.0038328494804423558
1773291415150,-0.0038328494804423558
1773291415491,-0.0038328494804423558
1773291415535,-0.0038328494804423558
1773291415848,-0.0038328494804423558
1773291415891,-0.0038328494804423558
1773291416264,-0.0038328494804423558
1773291416268,-0.0038328494804423558
1773291416406,-0.0038328494804423558
1773291416550,-0.0038328494804423558
1773291416568,-0.0038328494804423558
1773291417120,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291417295,-0.0038328494804423558
1773291418069,-0.0038328494804423558
1773291418264,-0.0038328494804423558
1773291418628,-0.0038328494804423558
1773291419408,-0.0038328494804423558
1773291419687,-0.0038328494804423558
1773291420232,-0.0038328494804423558
1773291420734,-0.0038328494804423558
1773291421050,-0.0038328494804423558
1773291421932,-0.0038328494804423558
1773291422292,-0.0038328494804423558
1773291422664,-0.0038328494804423558
1773291423170,-0.0038328494804423558
1773291423688,-0.0038328494804423558
1773291423728,-0.0038328494804423558
1773291423728,-0.0038328494804423558
1773291423728,-0.0038328494804423558
1773291424101,-0.0038328494804423558
1773291424717,-0.0038328494804423558
1773291424978,-0.0038328494804423558
1773291425120,-0.0038328494804423558
1773291425179,-0.0038328494804423558
1773291425282,-0.0038328494804423558
1773291425516,-0.0038328494804423558
1773291425866,-0.0038328494804423558
1773291426123,-0.0038328494804423558
1773291426222,-0.0038328494804423558
1773291426513,-0.0038328494804423558
1773291426545,-0.0038328494804423558
1773291426605,-0.0038328494804423558
1773291426667,-0.0038328494804423558
1773291426739,-0.0038328494804423558
1773291427103,-0.0038328494804423558
1773291427291,-0.0038328494804423558
1773291427706,-0.0038328494804423558
1773291427883,-0.0038328494804423558
1773291428083,-0.0038328494804423558
1773291428999,-0.0038328494804423558
1773291429138,-0.0038328494804423558
1773291429147,-0.0038328494804423558
1773291429848,-0.0038328494804423558
1773291430139,-0.0038328494804423558
1773291430225,-0.0038328494804423558
1773291430404,-0.0038328494804423558
1773291430513,-0.0038328494804423558
1773291430682,-0.0038328494804423558
1773291430779,-0.0038328494804423558
1773291430890,-0.0038328494804423558
1773291430896,-0.0038328494804423558
1773291430989,-0.0038328494804423558
1773291431081,-0.0038328494804423558
1773291431213,-0.0038328494804423558
1773291432958,-0.0038328494804423558
1773291433114,-0.0038328494804423558
1773291433169,-0.0038328494804423558
1773291433346,-0.0038328494804423558
1773291433396,-0.0038328494804423558
1773291433777,-0.0038328494804423558
1773291434370,-0.0038328494804423558
1773291434874,-0.0038328494804423558
1773291434978,-0.0038328494804423558
1773291435109,-0.0038328494804423558
1773291435373,-0.0038328494804423558
1773291435549,-0.0038328494804423558
1773291435648,-0.0038328494804423558
1773291435771,-0.0038328494804423558
1773291435843,-0.0038328494804423558
1773291436236,-0.0038328494804423558
1773291436432,-0.0038328494804423558
1773291436936,-0.0038328494804423558
1773291436993,-0.0038328494804423558
1773291437226,-0.0038328494804423558
1773291437358,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437379,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437380,-0.0038328494804423558
1773291437410,-0.0038328494804423558
1773291438012,-0.0038328494804423558
1773291438193,-0.0038328494804423558
1773291438376,-0.0038328494804423558
1773291438528,-0.0038328494804423558
1773291439109,-0.0038328494804423558
1773291439429,-0.0038328494804423558
1773291439986,-0.0038328494804423558
1773291440465,-0.0038328494804423558
1773291440539,-0.0038328494804423558
1773291440838,-0.0038328494804423558
1773291441563,-0.0038328494804423558
1773291441592,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291441594,-0.0038328494804423558
1773291442203,-0.0038328494804423558
1773291443355,-0.0038328494804423558
1773291443355,-0.0038328494804423558
1773291443360,-0.0038328494804423558
1773291443411,-0.0038328494804423558
1773291443900,-0.0038328494804423558
1773291446223,-0.0038328494804423558
1773291446223,-0.0038328494804423558
1773291446223,-0.0038328494804423558
1773291446340,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446844,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291446871,-0.0038328494804423558
1773291447753,-0.0038328494804423558
1773291447753,-0.0038328494804423558
1773291447757,-0.0038328494804423558
1773291447757,-0.0038328494804423558
1773291447757,-0.0038328494804423558
1773291449506,-0.0038328494804423558
1773291450573,-0.0038328494804423558
1773291450900,-0.0038328494804423558
1773291451139,-0.0038328494804423558
1773291451223,-0.0038328494804423558
1773291451422,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451634,-0.0038328494804423558
1773291451965,-0.0038328494804423558
1773291452048,-0.0038328494804423558
1773291452736,-0.0038328494804423558
1773291452828,-0.0038328494804423558
1773291452865,-0.0038328494804423558
1773291453697,-0.0038328494804423558
1773291453817,-0.0038328494804423558
1773291453902,-0.0038328494804423558
1773291454214,-0.0038328494804423558
1773291454453,-0.0038328494804423558
1773291455129,-0.0038328494804423558
1773291455458,-0.0038328494804423558
1773291455480,-0.0038328494804423558
1773291455599,-0.0038328494804423558
1773291455795,-0.0038328494804423558
1773291455857,-0.0038328494804423558
1773291456083,-0.0038328494804423558
1773291456153,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456238,-0.0038328494804423558
1773291456336,-0.0038328494804423558
1773291456472,-0.0038328494804423558
1773291456868,-0.0038328494804423558
1773291457011,-0.0038328494804423558
1773291457476,-0.0038328494804423558
1773291458387,-0.0038328494804423558
1773291458400,-0.0038328494804423558
1773291458692,-0.0038328494804423558
1773291459038,-0.0038328494804423558
1773291459048,-0.0038328494804423558
1773291459554,-0.0038328494804423558
1773291459644,-0.0038328494804423558
1773291460400,-0.0038328494804423558
1773291460452,-0.0038328494804423558
1773291460458,-0.0038328494804423558
1773291460670,-0.0038328494804423558
1773291460950,-0.0038328494804423558
1773291461178,-0.0038328494804423558
1773291461308,-0.0038328494804423558
1773291461951,-0.0038328494804423558
1773291462603,-0.0038328494804423558
1773291462925,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463209,-0.0038328494804423558
1773291463290,-0.0038328494804423558
1773291463553,-0.0038328494804423558
1773291463881,-0.0038328494804423558
1773291464768,-0.0038328494804423558
1773291464828,-0.0038328494804423558
1773291464835,-0.0038328494804423558
1773291464992,-0.0038328494804423558
1773291465101,-0.0038328494804423558
1773291465101,-0.0038328494804423558
1773291465613,-0.0038328494804423558
1773291465617,-0.0038328494804423558
1773291465617,-0.0038328494804423558
1773291465809,-0.0038328494804423558
1773291465839,-0.0038328494804423558
1773291465839,-0.0038328494804423558
1773291465902,-0.0038328494804423558
1773291466093,-0.0038328494804423558
1773291466251,-0.0038328494804423558
1773291466575,-0.0038328494804423558
1773291467777,-0.0038328494804423558
1773291467833,-0.0038328494804423558
1773291467948,-0.0038328494804423558
1773291467956,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468306,-0.0038328494804423558
1773291468322,-0.0038328494804423558
1773291468879,-0.0038328494804423558
1773291468906,-0.0038328494804423558
1773291468918,-0.0038328494804423558
1773291468922,-0.0038328494804423558
1773291469354,-0.0038328494804423558
1773291470098,-0.0038328494804423558
1773291470150,-0.0038328494804423558
1773291470308,-0.0038328494804423558
1773291470428,-0.0038328494804423558
1773291470588,-0.0038328494804423558
1773291470772,-0.0038328494804423558
1773291470904,-0.0038328494804423558
1773291471019,-0.0038328494804423558
1773291471079,-0.0038328494804423558
1773291471211,-0.0038328494804423558
1773291471299,-0.0038328494804423558
1773291471718,-0.0038328494804423558
1773291471747,-0.0038328494804423558
1773291471816,-0.0038328494804423558
1773291472313,-0.0038328494804423558
1773291472435,-0.0038328494804423558
1773291472555,-0.0038328494804423558
1773291472608,-0.0038328494804423558
1773291472809,-0.0038328494804423558
1773291472879,-0.0038328494804423558
1773291472906,-0.0038328494804423558
1773291473047,-0.0038328494804423558
1773291473281,-0.0038328494804423558
1773291474163,-0.0038328494804423558
1773291474181,-0.0038328494804423558
1773291474225,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474283,-0.0038328494804423558
1773291474286,-0.0038328494804423558
1773291474286,-0.0038328494804423558
1773291474286,-0.0038328494804423558
1773291474286,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
1773291474288,-0.0038328494804423558
